0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:05:45 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:05:46 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:05:46 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:05:46 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:05:46 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:05:46 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:06:45 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:06:45 +0530] "GET /Frontend/Blogger.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:06:46 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:06:46 +0530] "GET /Frontend/Blogger.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:06:46 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:06:46 +0530] "GET /Frontend/Blogger.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:06:46 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:06:46 +0530] "GET /Frontend/Blogger.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:07:14 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:07:14 +0530] "GET /Frontend/Blogger.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:11:30 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:11:30 +0530] "GET /Frontend/Blogger.jpg HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:11:31 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:11:31 +0530] "GET /Frontend/Blogger.jpg HTTP/1.1" 404 1096
