127.0.0.1 - - [21/Nov/2018:11:31:59 +0530] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [21/Nov/2018:11:32:00 +0530] "GET /Middleware/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [21/Nov/2018:11:32:00 +0530] "GET /favicon.ico HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [21/Nov/2018:11:32:20 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 7352
0:0:0:0:0:0:0:1 - - [21/Nov/2018:11:32:20 +0530] "GET /Frontend/user//UserController.js HTTP/1.1" 200 2755
0:0:0:0:0:0:0:1 - - [21/Nov/2018:11:32:20 +0530] "GET /Frontend/js//MyController.js HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [21/Nov/2018:11:32:20 +0530] "GET /Frontend/Forum//ForumController.js HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [21/Nov/2018:11:32:20 +0530] "GET /Frontend/images//blogger.png HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [21/Nov/2018:11:32:20 +0530] "GET /Frontend/Blog//BlogController.js HTTP/1.1" 200 4527
0:0:0:0:0:0:0:1 - - [21/Nov/2018:11:32:20 +0530] "GET /Frontend/job//JobController.js HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [21/Nov/2018:11:32:21 +0530] "GET /Frontend/Home.html HTTP/1.1" 200 4113
0:0:0:0:0:0:0:1 - - [21/Nov/2018:11:32:21 +0530] "GET /Frontend/images//images2.jpg HTTP/1.1" 200 243238
0:0:0:0:0:0:0:1 - - [21/Nov/2018:11:32:21 +0530] "GET /Frontend/images//nature5.jpg HTTP/1.1" 200 193601
0:0:0:0:0:0:0:1 - - [21/Nov/2018:11:32:21 +0530] "GET /Frontend/images//Chris-Pratt.jpg HTTP/1.1" 200 41819
0:0:0:0:0:0:0:1 - - [21/Nov/2018:11:32:21 +0530] "GET /Frontend/images//images.jpg HTTP/1.1" 200 14541
0:0:0:0:0:0:0:1 - - [21/Nov/2018:11:32:21 +0530] "GET /Frontend/images//img_avatar3.png HTTP/1.1" 200 8229
