127.0.0.1 - - [01/Nov/2018:11:20:58 +0530] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:01 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 6864
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:02 +0530] "GET /Frontend/user//UserController.js HTTP/1.1" 200 1646
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:02 +0530] "GET /Frontend/Forum//ForumController.js HTTP/1.1" 200 1114
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:02 +0530] "GET /Frontend/Blog//BlogController.js HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:02 +0530] "GET /Frontend/images//blogger.png HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:02 +0530] "GET /Frontend/js//MyController.js HTTP/1.1" 200 1511
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:03 +0530] "GET /favicon.ico HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:20 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:24 +0530] "GET /Frontend/Home.html HTTP/1.1" 200 4113
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:24 +0530] "GET /Frontend/images//nature5.jpg HTTP/1.1" 200 193601
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:24 +0530] "GET /Frontend/images//images2.jpg HTTP/1.1" 200 243238
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:24 +0530] "GET /Frontend/images//Chris-Pratt.jpg HTTP/1.1" 200 41819
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:24 +0530] "GET /Frontend/images//images.jpg HTTP/1.1" 200 14541
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:24 +0530] "GET /Frontend/images//img_avatar3.png HTTP/1.1" 200 8229
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:24 +0530] "GET /Frontend/images//img_avatar2.png HTTP/1.1" 200 8490
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:30 +0530] "GET /Frontend/user/Login.html HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:37 +0530] "POST /Middleware/login HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:38 +0530] "GET /Frontend/user/UserHome.html HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:49 +0530] "GET /Frontend/Forum/ViewForum.html HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:53 +0530] "GET /Frontend/Blog/ViewBlog.html HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:21:53 +0530] "GET /Middleware/listBlog HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:22:02 +0530] "GET /Frontend/Blog/AddBlog.html HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:22:16 +0530] "POST /Middleware/addBlog HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:22:17 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:22:25 +0530] "POST /Middleware/login HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:22:29 +0530] "GET /Middleware/listBlog HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:22:54 +0530] "POST /Middleware/login HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:23:57 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:24:12 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 6864
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:24:12 +0530] "GET /Frontend/user//UserController.js HTTP/1.1" 200 1646
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:24:12 +0530] "GET /Frontend/js//MyController.js HTTP/1.1" 200 1511
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:24:12 +0530] "GET /Frontend/Blog//BlogController.js HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:24:12 +0530] "GET /Frontend/Forum//ForumController.js HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:24:12 +0530] "GET /Frontend/images//blogger.png HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:24:33 +0530] "GET /Frontend/Forum/ViewForum.html HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:24:33 +0530] "GET /Middleware/listForums HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:19 +0530] "GET /Frontend/Home.html HTTP/1.1" 200 4113
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:19 +0530] "GET /Frontend/images//nature5.jpg HTTP/1.1" 200 193601
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:19 +0530] "GET /Frontend/images//img_avatar2.png HTTP/1.1" 200 8490
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:19 +0530] "GET /Frontend/images//images.jpg HTTP/1.1" 200 14541
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:19 +0530] "GET /Frontend/images//images2.jpg HTTP/1.1" 200 243238
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:19 +0530] "GET /Frontend/images//Chris-Pratt.jpg HTTP/1.1" 200 41819
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:19 +0530] "GET /Frontend/images//img_avatar3.png HTTP/1.1" 200 8229
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:27 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 6864
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:27 +0530] "GET /Frontend/images//blogger.png HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:27 +0530] "GET /Frontend/js//MyController.js HTTP/1.1" 200 1592
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:27 +0530] "GET /Frontend/Blog//BlogController.js HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:27 +0530] "GET /Frontend/user//UserController.js HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:27 +0530] "GET /Frontend/Forum//ForumController.js HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:28 +0530] "GET /Frontend/Home.html HTTP/1.1" 200 4113
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:28 +0530] "GET /Frontend/images//nature5.jpg HTTP/1.1" 200 193601
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:28 +0530] "GET /Frontend/images//Chris-Pratt.jpg HTTP/1.1" 200 41819
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:28 +0530] "GET /Frontend/images//images.jpg HTTP/1.1" 200 14541
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:28 +0530] "GET /Frontend/images//images2.jpg HTTP/1.1" 200 243238
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:28 +0530] "GET /Frontend/images//img_avatar3.png HTTP/1.1" 200 8229
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:28 +0530] "GET /Frontend/images//img_avatar2.png HTTP/1.1" 200 8490
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:30 +0530] "GET /Frontend/user/Login.html HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:36 +0530] "POST /Middleware/login HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:36 +0530] "GET /Frontend/user/UserHome.html HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:50 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:50 +0530] "GET /Frontend/js//MyController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:28:50 +0530] "GET /Frontend/user//UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:31:20 +0530] "POST /Middleware/login HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [01/Nov/2018:11:31:20 +0530] "GET /Frontend/admin/AdminHome.html HTTP/1.1" 200 115
